idarticulo,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado
1,3,4572570011404,Operation,489.63,843,it too hospital such see indicate rate say statement film,boy.bmp,0
2,22,5534368831952,Accept,232.53,957,rich draw necessary including still ever thing available animal behavior,thing.jpg,1
3,9,5541609645667,Manager,407.86,1,he peace woman ok apply full sort religious building action,hospital.gif,0
4,10,4520433978142,Pull,490.89,733,choice something account against expert edge they base finish way,interesting.gif,1
5,5,5505920218887,Foot,203.91,245,arrive conference accept edge enjoy same seat ability civil machine,difficult.gif,0
6,13,5541326743592,Red,193.94,816,agreement evening mission today skin even another local accept kitchen,its.png,0
7,2,5522476610705,Laugh,334.56,397,door admit exist fish food debate magazine action every language,skill.jpg,1
8,1,4530090782853,Possible,345.89,390,me film population alone matter window special expert character thing,without.jpeg,0
9,1,5559756914130,North,411.23,563,across lose sometimes involve value all else stand book campaign,individual.jpg,0
10,15,4588243054562,Lead,283.59,129,early year that each exist four general career door walk,sure.jpeg,0
11,9,4500829030326,Action,348.44,538,i crime home debate country benefit civil quality every add,for.jpg,1
12,4,5582873357184,Red,318.32,252,head challenge phone really avoid challenge college exactly artist nature,thing.tiff,0
13,14,4525764771127,Soldier,321.42,668,yard myself public building knowledge front believe history make eight,picture.gif,1
14,9,5579256988356,Forward,423.51,338,manage sister chair never decision nature fine property to training,subject.tiff,1
15,3,4516225507904,Offer,155.82,898,let shake per debate most arrive west authority professor arrive,buy.bmp,1
16,2,4577872790439,She,448.43,280,sure culture true year tonight newspaper task majority control available,buy.gif,1
17,19,4599730068207,Glass,467.43,554,movement reduce often couple serve whether act type so item,eight.gif,1
18,12,5549312655768,Surface,381.14,278,home week huge young throughout attention lawyer detail face line,song.bmp,1
19,12,5539410404634,Bed,270,424,middle relate about executive fish education local level company rest,best.gif,0
20,16,5558863826053,Ball,320,41,find court development natural their second allow western hard room,new.jpeg,0
21,18,4567309427656,Since,38.48,759,environmental central attorney compare maintain among store modern gas standard,term.tiff,1
22,7,4543435080637,Decision,488.39,385,necessary indeed sure concern experience reflect worry matter a question,her.gif,0
23,21,4555264519783,Law,43.04,823,attack his friend reflect sort wide activity democrat improve south,worry.gif,1
24,5,5573502671955,Somebody,289.76,800,in ready college build them could suggest official reason whether,hit.png,0
25,15,4581497073136,Any,93.23,603,mrs table gas mother practice democrat believe to yourself hit,charge.gif,0
26,2,4504547903092,Indicate,497.77,133,sometimes there among ask current per always message scientist treat,sound.gif,0
27,18,5551015398897,For,119.69,445,different grow second reduce nor almost time fish wish system,determine.bmp,0
28,12,4536575118476,Him,311.75,696,big interesting go father eat very billion stage investment gas,alone.bmp,1
29,7,5511239651062,Question,446.29,185,back hit old material difficult today guy notice end huge,medical.tiff,1
30,7,4573163426827,Check,219.37,120,relationship various yard quality left work able watch increase camera,his.png,0
31,2,5505815979749,Director,73.88,98,now fine bag white shoulder scene sense old develop while,really.jpeg,0
32,7,4505716236751,Church,308.92,1,light line phone pm particularly car sure perhaps throughout none,remember.tiff,0
33,12,4585542317909,Public,19.63,534,environmental question six beyond newspaper organization usually school argue store,college.gif,0
34,4,4514237037631,Staff,351.34,689,cut high itself individual toward senior check direction money whole,husband.tiff,1
35,13,5509061258955,Agree,22.59,299,world campaign worry reach outside production student why personal explain,education.gif,1
36,8,5595604058212,International,153.66,832,account course contain compare rate open force write hard campaign,property.bmp,0
37,19,5532528666215,Skill,115.23,275,pull but interesting reveal amount reality wait level get performance,it.jpeg,0
38,14,4585648523938,Law,470.33,109,they do class stop everything option box nothing she recognize,laugh.bmp,1
39,4,5538252964771,Nice,121.74,769,song let account such marriage mission stay ground offer stay,administration.png,1
40,2,5529291519510,Report,219.55,174,easy source different significant memory blue continue herself he go,avoid.tiff,0
41,13,4561129391555,Practice,205.27,781,painting her election serve need value rule at think maybe,word.gif,1
42,11,4589016561034,Make,460,111,scientist each work price happen avoid already long subject career,usually.bmp,1
43,2,5558475476615,Since,391.07,616,opportunity help data smile democrat order evidence even hit everything,laugh.jpeg,0
44,6,4525113910856,Full,282.41,892,son defense wrong even strategy at college town consider or,trouble.gif,0
45,12,5559504598759,Result,479.96,414,fish water reason later support worker decide today return brother,in.gif,1
46,1,5579186199020,Focus,431.52,348,soldier same however east detail significant choose what action model,because.bmp,1
47,21,5517053466011,Leave,337.74,838,head finish since cause peace business good bar put field,perform.bmp,0
48,16,5532596019944,Ability,263.78,957,democratic current detail firm business artist should student toward arrive,within.bmp,0
49,12,5596564178019,Rock,118.44,60,movie my long apply computer glass study huge exist senior,himself.tiff,0
50,13,4568071401141,Simple,42.28,177,area clearly major name account hot throughout measure if benefit,sort.bmp,1
51,11,4595905495144,Word,40.31,88,entire box relate cause west attorney imagine republican easy most,authority.jpg,0
52,15,4509788859122,Film,323.06,652,participant professional box worker there west speak building enjoy woman,last.tiff,0
53,20,4548270764803,Process,78.35,644,forget movement each they hit participant i newspaper computer relationship,letter.jpg,0
54,21,5507602603080,Generation,50.19,653,attack phone federal trial kid kind effect memory network now,purpose.jpg,0
55,20,4529828655835,Ahead,134.85,789,member whose team behind a exist mean might everybody town,course.bmp,0
56,18,5595608370877,Organization,50.03,17,physical street husband wonder book dog scientist policy student never,institution.tiff,0
57,14,5524372286619,Anything,248.37,276,trouble professor will establish analysis true government third population range,picture.gif,1
58,14,5525958051911,There,366.86,657,chance test financial everything knowledge standard trouble white purpose detail,different.tiff,1
59,21,5514445029533,Other,250.12,978,popular heart majority rest boy week than apply treatment nearly,catch.png,0
60,10,5581768407546,Store,63.68,643,religious east hospital manage family which radio hotel natural order,feel.png,1
61,16,4537761334571,Father,249.05,160,agency rule together want rise conference impact mrs direction pick,position.jpeg,1
62,4,4527946188204,Executive,310.82,829,detail go tough then section population half far process two,kind.jpeg,0
63,10,4575893426351,Those,76.54,415,south camera energy human nation front open follow suggest usually,girl.gif,1
64,18,4592235260510,Say,307.95,508,or push join performance significant push box middle education forget,since.jpeg,1
65,6,4542513496605,Budget,247.48,471,interest likely risk example democratic evening whose along expert develop,heavy.png,1
66,21,5524590248253,Career,225.15,857,door indeed letter shoulder player leave establish popular third paper,teach.gif,1
67,12,5545374676086,Lot,288.26,690,civil take not serve coach prevent yard discussion it tell,meeting.png,1
68,8,5552744822370,Body,408.43,981,far student moment represent hospital education capital buy fill fall,structure.gif,1
69,21,5546300220991,Human,426.36,862,no whole share situation pressure something oil type wrong represent,follow.jpeg,1
70,17,5555902456851,Sea,128.89,301,author civil media thus blood course whose sea employee physical,law.jpeg,0
71,13,4574500124796,Message,63.63,804,cup dog apply adult out anything range lot ago daughter,just.png,0
72,3,4553036293138,Trade,175.82,472,appear end speak population federal staff room serve former front,it.gif,1
73,3,4565683405468,Lawyer,406,478,approach mrs huge sure improve player determine receive on now,data.png,0
74,17,4598222596921,Information,296.2,210,class fine around music either lose blue property without exactly,artist.gif,0
75,9,4512927069115,Bank,239.29,960,family break month sea trip at or american charge line,hundred.bmp,0
76,10,4505435981369,Run,163.79,830,could life something player discover major concern development eat deep,step.gif,0
77,19,4517379439257,Imagine,9.26,584,air job upon upon environmental admit gun name fall family,tough.bmp,0
78,22,5586671045977,End,352.85,30,process guess always teacher age listen tend bar detail phone,affect.jpeg,0
79,5,5528856206261,Sort,155.87,788,his who appear job bar dinner rest hold local cut,capital.jpeg,0
80,3,4554519826034,Fund,322.74,650,want actually president hair successful side own interest race maintain,view.tiff,1
81,8,4573373913339,Office,158.13,883,near north tell employee economic example heart wear writer phone,for.gif,0
82,6,4599906939607,Take,223.66,345,activity everything ahead tough market example short exist network fight,trial.png,1
83,3,4593805773508,Race,112.23,608,recently process per one quality sister occur performance we interview,father.bmp,1
84,3,4580891130636,Human,96.51,194,join major friend eat writer kitchen beat successful yet skill,second.tiff,0
85,8,5585254679158,Front,137.15,614,board easy special woman cost person body full tough young,reality.bmp,1
86,21,5591877715593,Effort,391.88,287,four test adult light religious high other pay trade claim,high.tiff,0
87,6,5509491518797,Somebody,373.38,647,big draw half own race school some someone quality read,now.png,1
88,13,5580230069299,Everyone,66.7,375,i election concern amount friend ready animal task daughter tough,team.gif,0
89,7,5560376191559,Beat,260.06,605,several pick line friend indeed thought measure ever although concern,appear.jpg,0
90,11,5523600334009,Card,392.82,885,though population news stand from pretty quality statement worry once,good.bmp,1
