iddetalle_venta,idventa,idarticulo,cantidad,precio,descuento
1,996,112,5,460.26,111.01
2,720,255,2,101.38,8.74
3,564,138,10,179.3,11.66
4,999,120,10,182.21,40.05
5,219,18,3,406.11,66.3
6,782,95,10,538.2,47.62
7,119,264,1,407.31,56.23
8,116,297,10,330.56,63.59
9,352,235,8,293.83,60.99
10,846,42,10,678.13,106.8
11,132,285,9,51.44,7.5
12,385,169,2,58.87,3.62
13,778,29,2,724.39,71.94
14,787,197,2,411.93,95.49
15,882,219,8,666.23,66.12
16,660,122,2,189.15,41.02
17,880,238,10,171.48,19.51
18,113,78,2,200.56,43.53
19,49,283,4,473.08,26.47
20,164,119,1,171.11,38.34
21,23,78,8,256.6,33.41
22,319,67,7,366.3,39.18
23,93,115,8,155.51,17.52
24,609,277,7,587.24,133.32
25,218,120,7,621.14,118.48
26,943,190,1,617.26,147.87
27,11,94,9,268.51,23.97
28,330,256,3,174.5,14.39
29,482,167,4,337.57,58.48
30,176,156,6,727.06,131.66
31,204,128,7,150.29,8.02
32,473,249,4,548.54,110.2
33,551,262,8,352.25,18.1
34,207,294,2,67.33,12.66
35,145,254,8,667.85,138.42
36,712,137,5,629.23,112.87
37,101,254,1,508.25,26.88
38,86,244,1,340.49,18.14
39,562,90,4,460.65,82.63
40,319,209,9,159.26,11.92
41,544,189,3,320.55,38.11
42,31,124,8,348.96,73.84
43,985,263,7,224.35,28.21
44,62,28,1,555.15,102.26
45,585,285,5,563.96,82.31
46,279,232,5,169.09,37.95
47,515,204,7,664.89,128.53
48,659,104,9,411.86,23.32
49,486,154,4,426.33,89.49
50,108,294,9,261.34,15.6
51,76,47,6,418.18,70.66
52,408,210,10,674.85,94.25
53,680,135,9,214.67,50.03
54,253,299,6,576.73,118.65
55,776,257,9,9.29,1.96
56,334,202,1,718.84,46.36
57,525,149,2,558.08,44.03
58,932,223,8,312.64,61.46
59,872,181,2,671.75,134.09
60,43,126,9,91.76,8.54
61,635,156,2,578.64,69.58
62,463,56,10,651.59,71.6
63,382,104,3,686.84,40.14
64,418,94,6,143.28,17.44
65,42,288,3,478.84,29.64
66,741,279,3,502.37,52.07
67,957,226,10,333.62,37.49
68,253,50,6,114.27,10.55
69,387,290,8,536.52,111.16
70,677,38,2,687.2,70.27
71,498,102,8,660.71,60.32
72,62,90,7,582,48.45
73,9,290,8,470,61.57
74,929,257,8,575.15,51.5
75,140,230,5,3.24,0.45
76,272,276,4,509.94,73.41
77,81,189,9,742.47,173.99
78,401,46,2,171.95,35.77
79,735,234,7,149.98,33.4
80,281,215,7,117.24,27.04
81,785,7,9,549.57,77.39
82,380,171,4,710.21,58.23
83,975,151,8,721.5,164.25
84,988,45,9,574.08,129.47
85,244,222,4,88.16,5.66
86,242,27,9,104.84,20.41
87,902,78,9,417.56,33.58
88,311,149,1,80.55,13.75
89,261,37,2,300.36,43.54
90,343,256,6,406.11,89.99
91,424,281,3,662.62,139.78
92,794,223,5,114.06,26.37
93,601,148,10,195.9,11.8
94,214,122,9,396.72,33.04
95,228,292,3,205.53,35.51
96,347,153,10,729.98,177.65
97,239,28,1,321.47,46.89
98,80,1,5,207.97,18.97
99,851,195,8,21.64,3.03
100,868,214,8,220.85,17.99
101,859,245,1,138.65,31.52
102,31,118,1,25.99,1.57
103,558,69,6,469.02,43.99
104,20,10,3,272.76,21.77
105,717,263,1,25.41,4.53
106,880,66,2,299.26,63.35
107,580,102,2,65.13,11.19
