idventa,idcliente,idusuario,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado
1,427,33,Invoice,G,G991249,2020-08-29,3.33,6460.65,Processed
2,567,47,Invoice,F,F482969,2020-12-18,6.19,5714.17,Cancelled
3,455,2,Invoice,U,U049801,2020-01-14,11.23,5576.6,Processed
4,264,21,Receipt,U,U781829,2021-07-30,10.98,4194.3,Processed
5,398,2,Invoice,Z,Z887893,2021-12-21,0.68,6435.98,Processed
6,314,26,Invoice,W,W303357,2021-05-28,1.67,3649.8,Cancelled
7,226,14,Invoice,O,O092834,2023-07-25,7.38,517,Cancelled
8,340,27,Receipt,T,T250956,2021-04-30,5.83,7598.11,Processed
9,562,44,Invoice,R,R051430,2023-05-03,0.22,3638.73,Pending
10,374,32,Receipt,N,N832353,2020-08-24,4.85,8738.84,Cancelled
11,343,40,Receipt,B,B477647,2022-08-02,2.9,5178.24,Cancelled
12,374,43,Invoice,Y,Y608500,2022-07-20,4.53,6169.56,Cancelled
13,254,47,Invoice,H,H280430,2023-01-06,6.19,7379.66,Cancelled
14,339,11,Invoice,E,E786852,2020-12-13,9.08,2048.16,Cancelled
15,211,1,Receipt,G,G163253,2023-08-17,1.5,5393.53,Cancelled
16,415,45,Receipt,T,T000397,2023-06-02,8.25,2175.66,Pending
17,433,4,Invoice,K,K726165,2023-12-24,6.91,8704.96,Processed
18,454,8,Invoice,Z,Z277226,2023-12-29,3.44,6927.69,Cancelled
19,305,32,Invoice,N,N732055,2022-11-10,14.86,4423.44,Processed
20,356,28,Invoice,G,G991188,2022-11-12,10.19,209.5,Cancelled
21,325,48,Receipt,B,B106687,2021-05-12,0.14,1670.77,Processed
22,330,50,Invoice,F,F791713,2021-03-23,13.22,8445.54,Cancelled
23,261,45,Receipt,B,B973981,2023-06-14,6.68,3978.63,Processed
24,460,44,Receipt,H,H421576,2020-08-01,13.78,5215.88,Cancelled
25,539,21,Receipt,L,L219748,2021-10-29,7.11,6120.64,Pending
26,476,16,Receipt,Z,Z344829,2021-07-23,5.38,3390.1,Pending
